source,date,text,rating,url,discovery_subtheme,sentiment,pain_point
play_store,2026-06-19T07:59:48+00:00,Love this app. So many great songs and Playlists. I love the fact that you can create your own personal radio stations based on the genre of music that you like 👍,5,https://play.google.com/store/apps/details?id=com.spotify.music,discovery_features,positive,none
play_store,2026-06-19T07:52:45+00:00,"Spotify has increased their prices too much. Request to bring back the price. I had switched to apple music. it provides affordable listening experience. with lossless music. but the suggestions in Spotify is good that i feel like coming back, if the cost is affordable",1,https://play.google.com/store/apps/details?id=com.spotify.music,recommendation_quality,mixed,none
play_store,2026-06-19T07:24:26+00:00,10/10 do recommend. it has every song that I like,5,https://play.google.com/store/apps/details?id=com.spotify.music,catalog_availability,positive,none
play_store,2026-06-19T07:09:56+00:00,Use to be the best but now with the dj and enhanced shuffle and other annoying things i cant trun off adds more lag as well as an increase in issues and problems with the app. So much irrelevant stuff now on the main page and I can't even find new music from artists that I follow anymore seems like a basic thing that should have stayed in the app No clue why they got rid of it but the moves that they're making make me want to move to a completely different music app rather than paying for this.,1,https://play.google.com/store/apps/details?id=com.spotify.music,search_and_navigation,negative,Can't find new music from followed artists
play_store,2026-06-19T06:23:59+00:00,Ive used the old widget 4 years n had no issue with it I used the widget more then the app shortcut when even i would just open the app when they came out with the new widget I had no interest in switching over cause I liked how the old one 1x4 worked n the new one was a 2x4 widget cause it gave you the option to open a Playlist I had no interest in the so I didnt switch now they forced me to switch now when I use the widget to open it im brought to a Playlist not the home screen i cant stand it,2,https://play.google.com/store/apps/details?id=com.spotify.music,search_and_navigation,negative,Forced widget change disrupts workflow
play_store,2026-06-19T05:08:50+00:00,"i cant play the SONGS IN ORDER. when i click on to playlists, the only thing i can choose is a short clip of the song like come on man, choosing should be a basic feature. but the thing is that this is not a prob in phones ig. This problem is in my tab I aint gonna hear any music from this app anymore. Youtube music is much better than this",1,https://play.google.com/store/apps/details?id=com.spotify.music,search_and_navigation,negative,Can't play songs in order
play_store,2026-06-19T04:48:32+00:00,Awesome way to find new music. The layout is awesome. Love it The best music app out there.,5,https://play.google.com/store/apps/details?id=com.spotify.music,discovery_features,positive,none
play_store,2026-06-19T04:01:17+00:00,"Extremely disappointed, extremely money hungry. Cannot even move the music time bar and cannot even play the playlist down without having to pay for premium, YES they require premium to even disable shuffling.",2,https://play.google.com/store/apps/details?id=com.spotify.music,other,negative,Limited features without premium
play_store,2026-06-19T02:57:39+00:00,"Radio option has become so unusable because of ""promotional tool for artists"" which increases likelihood of trash songs bring recommended.",2,https://play.google.com/store/apps/details?id=com.spotify.music,discovery_features,negative,Low quality song recommendations
play_store,2026-06-19T02:21:43+00:00,"App has not stopped crashing since the last update. Now I can't even get songs to play for 2 seconds before the app completely crashes and I get a notification saying the app has a bug and to update when a fix is provided. I pay for premium and I can't access my playlists on mobile without the app crashing, which means I can't even access the playlists I've downloaded for offline listening. I've already cleared the cache, as instructed, but it made it worse. So frustrating.",1,https://play.google.com/store/apps/details?id=com.spotify.music,other,negative,App crashes constantly
